OrderID,Product,Quantity,Price,Date
1,Doodad,2,10.99,2023-01-01
2,,2,,2023-01-02
3,Widget,4,10.99,2023-01-03
4,Doodad,8,15.99,2023-01-04
5,Doodad,7,15.99,2023-01-05
6,gadget,9,15.99,2023-01-06
7,Widget,8,,2023-01-07
8,Widget,5,10.99,2023-01-08
9,Doodad,2,10.99,2023-01-09
10,Gadget,5,10.99,2023-01-10
1,Doodad,2,10.99,2023-01-01
12,Doodad,9,15.99,2023-01-12
13,Doodad,9,15.99,2023-01-13
14,Doodad,1,10.99,2023-01-14
15,,9,15.99,2023-01-15
16,Widget,7,15.99,2023-01-16
17,,9,,2023-01-17
18,,8,,2023-01-18
19,,1,,2023-01-19
20,Doodad,8,,2023-01-20
21,Gadget,8,10.99,2023-01-21
22,Widget,3,,2023-01-22
23,Gadget,1,15.99,2023-01-23
24,,8,10.99,2023-01-24
25,,3,15.99,2023-01-25
26,Gadget,3,-5.99,2023-01-26
27,Gadget,1,15.99,2023-01-27
28,Gadget,5,,2023-01-28
29,,7,,2023-01-29
30,,9,10.99,2023-01-30
31,Widget,7,10.99,2023-01-31
32,Widget,9,,2023-02-01
33,,8,15.99,2023-02-02
34,Gadget,2,10.99,2023-02-03
35,Gadget,1,,2023-02-04
36,Widget,7,,2023-02-05
37,,7,,2023-02-06
38,Widget,8,15.99,2023-02-07
39,Widget,5,,2023-02-08
40,Doodad,3,,2023-02-09
41,Doodad,8,,2023-02-10
42,Doodad,6,,2023-02-11
43,Gadget,3,10.99,2023-02-12
44,,1,10.99,2023-02-13
45,,3,,2023-02-14
46,,5,15.99,2023-02-15
47,,3,10.99,2023-02-16
48,Doodad,1,,2023-02-17
49,Gadget,5,10.99,2023-02-18
50,Gadget,7,10.99,2023-02-19
51,Doodad,7,15.99,2023-02-20
52,Gadget,9,,2023-02-21
53,Doodad,3,,2023-02-22
54,,7,15.99,2023-02-23
55,Doodad,1,15.99,2023-02-24
56,,4,,2023-02-25
57,,4,,2023-02-26
58,Widget,5,15.99,2023-02-27
59,Doodad,7,10.99,2023-02-28
60,Widget,7,10.99,2023-03-01
61,Doodad,4,15.99,2023-03-02
62,Doodad,7,10.99,2023-03-03
63,Widget,3,15.99,2023-03-04
64,Widget,6,10.99,2023-03-05
65,Doodad,2,10.99,2023-03-06
66,Gadget,9,,2023-03-07
67,,5,,2023-03-08
68,Widget,6,10.99,2023-03-09
69,,4,10.99,2023-03-10
70,Gadget,7,,2023-03-11
71,Gadget,9,,2023-03-12
72,Gadget,7,,2023-03-13
73,Widget,1,15.99,2023-03-14
74,Gadget,1,10.99,2023-03-15
75,Widget,9,,2023-03-16
76,Gadget,9,10.99,2023-03-17
77,,4,15.99,2023-03-18
78,,9,15.99,2023-03-19
79,Doodad,3,,2023-03-20
80,,7,15.99,2023-03-21
81,Doodad,6,10.99,2023-03-22
82,,8,,2023-03-23
83,Widget,9,10.99,2023-03-24
84,,5,10.99,2023-03-25
85,Doodad,1,15.99,2023-03-26
86,Doodad,3,15.99,2023-03-27
87,Gadget,8,15.99,2023-03-28
88,Widget,6,15.99,2023-03-29
89,,8,15.99,2023-03-30
90,Gadget,9,,2023-03-31
91,,4,10.99,2023-04-01
92,,1,10.99,2023-04-02
93,Gadget,1,10.99,2023-04-03
94,Gadget,4,10.99,2023-04-04
95,Gadget,7,15.99,2023-04-05
96,Gadget,2,10.99,2023-04-06
97,Gadget,3,,2023-04-07
98,,1,,2023-04-08
99,Gadget,5,10.99,2023-04-09
100,Widget,1,10.99,2023-04-10
